Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
01-12-2024,1,12,2024,,,12/1/2024,"1,710.70","1,725.60","1,746.10","1,705.10",620.51K,-0.20%
01-11-2024,1,11,2024,,,11/1/2024,"1,714.15","1,739.00","1,762.05","1,702.00",985.47K,-0.53%
01-10-2024,1,10,2024,,,10/1/2024,"1,723.25","1,704.00","1,755.00","1,691.00",2.42M,2.37%
01-09-2024,1,9,2024,,,9/1/2024,"1,683.40","1,698.05","1,725.00","1,679.05",939.53K,0.20%
01-08-2024,1,8,2024,,,8/1/2024,"1,680.05","1,685.30","1,714.00","1,665.00",1.14M,0.36%
01-05-2024,1,5,2024,,,5/1/2024,"1,674.00","1,695.00","1,700.00","1,660.00",871.73K,-1.09%
01-04-2024,1,4,2024,,,4/1/2024,"1,692.50","1,706.55","1,723.00","1,675.05",1.49M,-0.28%
01-03-2024,1,3,2024,,,3/1/2024,"1,697.25","1,699.00","1,747.40","1,610.00",8.06M,5.84%
01-02-2024,1,2,2024,,,2/1/2024,"1,603.55","1,598.80","1,616.00","1,565.70",1.03M,0.32%
01-01-2024,1,1,2024,,,1/1/2024,"1,598.40","1,598.00","1,620.00","1,585.00",912.76K,0.09%
12/29/2023,12,,,29,2023,29/12/2023,"1,597.00","1,570.00","1,616.50","1,545.00",1.16M,2.31%
12/28/2023,12,,,28,2023,28/12/2023,"1,561.00","1,605.10","1,608.40","1,555.00",1.16M,-2.50%
12/27/2023,12,,,27,2023,27/12/2023,"1,601.10","1,644.00","1,657.95","1,570.05",2.12M,0.06%
12/26/2023,12,,,26,2023,26/12/2023,"1,600.20","1,555.00","1,632.00","1,551.55",2.81M,4.38%
12/22/2023,12,,,22,2023,22/12/2023,"1,533.10","1,543.00","1,546.00","1,500.00",1.06M,0.89%
12/21/2023,12,,,21,2023,21/12/2023,"1,519.55","1,390.05","1,549.00","1,390.05",2.13M,4.64%
12/20/2023,12,,,20,2023,20/12/2023,"1,452.15","1,539.75","1,569.40","1,385.00",2.23M,-5.20%
12/19/2023,12,,,19,2023,19/12/2023,"1,531.80","1,530.50","1,555.00","1,506.00",965.11K,0.47%
12/18/2023,12,,,18,2023,18/12/2023,"1,524.65","1,518.95","1,544.85","1,500.25",1.08M,-0.13%
12/15/2023,12,,,15,2023,15/12/2023,"1,526.65","1,527.65","1,541.00","1,501.40",1.70M,1.22%
12/14/2023,12,,,14,2023,14/12/2023,"1,508.30","1,435.95","1,535.00","1,435.95",3.44M,5.65%
12/13/2023,12,,,13,2023,13/12/2023,"1,427.70","1,459.00","1,459.95","1,375.00",2.83M,-2.47%
12-12-2023,12,12,2023,,,12/12/2023,"1,463.90","1,532.85","1,539.90","1,453.50",2.01M,-4.32%
12-11-2023,12,11,2023,,,11/12/2023,"1,530.00","1,554.40","1,579.00","1,475.00",2.71M,-1.31%
12-08-2023,12,8,2023,,,8/12/2023,"1,550.30","1,645.00","1,668.80","1,495.00",5.41M,-4.55%
12-07-2023,12,7,2023,,,7/12/2023,"1,624.15","1,580.00","1,700.00","1,565.00",10.88M,3.88%
12-06-2023,12,6,2023,,,6/12/2023,"1,563.45","1,474.50","1,608.00","1,463.25",19.69M,15.94%
12-05-2023,12,5,2023,,,5/12/2023,"1,348.50","1,126.00","1,348.50","1,096.10",16.96M,20.00%
12-04-2023,12,4,2023,,,4/12/2023,"1,123.75","1,160.00","1,184.00","1,092.55",6.00M,9.47%
12-01-2023,12,1,2023,,,1/12/2023,"1,026.50","1,042.00","1,045.00","1,020.00",1.18M,-0.22%
11/30/2023,11,,,30,2023,30/11/2023,"1,028.80","1,040.00","1,040.00","1,006.25",4.25M,-1.24%
11/29/2023,11,,,29,2023,29/11/2023,"1,041.70","1,089.65","1,124.90","1,021.50",6.65M,-1.05%
11/28/2023,11,,,28,2023,28/11/2023,"1,052.80",955,"1,099.00",955,11.57M,12.25%
11/24/2023,11,,,24,2023,24/11/2023,937.9,936,952.8,920,738.02K,0.77%
11/23/2023,11,,,23,2023,23/11/2023,930.7,920,935,910.2,350.09K,1.78%
11/22/2023,11,,,22,2023,22/11/2023,914.45,925.95,929.95,910,288.74K,-1.31%
11/21/2023,11,,,21,2023,21/11/2023,926.6,926.2,936.85,920,377.89K,0.04%
11/20/2023,11,,,20,2023,20/11/2023,926.2,935,938,915.15,472.98K,-1.06%
11/17/2023,11,,,17,2023,17/11/2023,936.1,941.35,943.65,930,341.14K,-0.56%
11/16/2023,11,,,16,2023,16/11/2023,941.35,948,949.5,939.35,353.02K,-0.93%
11/15/2023,11,,,15,2023,15/11/2023,950.15,952,954.9,940.05,412.64K,1.06%
11/13/2023,11,,,13,2023,13/11/2023,940.15,942.05,946.9,932.6,341.11K,-0.78%
11-12-2023,11,12,2023,,,12/11/2023,947.5,942.95,952.7,942.95,152.07K,0.94%
11-10-2023,11,10,2023,,,10/11/2023,938.7,942.8,946.2,927.05,311.27K,0.06%
11-09-2023,11,9,2023,,,9/11/2023,938.1,953,953.7,933.5,359.92K,-0.90%
11-08-2023,11,8,2023,,,8/11/2023,946.65,934.95,950.6,932,492.82K,1.56%
11-07-2023,11,7,2023,,,7/11/2023,932.15,934.7,953.25,916.85,919.79K,0.61%
11-06-2023,11,6,2023,,,6/11/2023,926.5,909.9,929.8,908,619.39K,2.64%
11-03-2023,11,3,2023,,,3/11/2023,902.7,898.95,907.3,897,286.93K,1.19%
11-02-2023,11,2,2023,,,2/11/2023,892.1,894,912.95,884,510.41K,1.35%
11-01-2023,11,1,2023,,,1/11/2023,880.25,914.7,921.7,876,551.73K,-3.44%
10/31/2023,10,,,31,2023,31/10/2023,911.65,920,933.35,904,713.14K,-0.39%
10/30/2023,10,,,30,2023,30/10/2023,915.25,875,939.8,868.45,2.04M,5.09%
10/27/2023,10,,,27,2023,27/10/2023,870.9,852.85,896.6,852.85,902.42K,2.68%
10/26/2023,10,,,26,2023,26/10/2023,848.15,866.5,869.6,815.55,1.14M,-3.20%
10/25/2023,10,,,25,2023,25/10/2023,876.15,881,899,863.75,464.13K,-0.53%
10/23/2023,10,,,23,2023,23/10/2023,880.8,928,929.95,875,695.29K,-4.28%
10/20/2023,10,,,20,2023,20/10/2023,920.15,938.5,946.8,915.75,625.76K,-1.38%
10/19/2023,10,,,19,2023,19/10/2023,933,937,942.95,922.35,291.74K,-0.64%
10/18/2023,10,,,18,2023,18/10/2023,939.05,949.4,953.95,937,281.56K,-1.01%
10/17/2023,10,,,17,2023,17/10/2023,948.65,949.95,958.45,945.2,363.32K,1.05%
10/16/2023,10,,,16,2023,16/10/2023,938.8,950,956.6,936,376.85K,-1.06%
10/13/2023,10,,,13,2023,13/10/2023,948.9,949.95,952.5,941.7,290.19K,0.03%
10-12-2023,10,12,2023,,,12/10/2023,948.65,965.95,969.95,945.15,353.63K,-1.43%
10-11-2023,10,11,2023,,,11/10/2023,962.45,949.65,970.85,946.3,775.85K,2.42%
10-10-2023,10,10,2023,,,10/10/2023,939.75,941.05,949,938,356.18K,0.09%
10-09-2023,10,9,2023,,,9/10/2023,938.95,955,955,935.65,574.85K,-2.32%
10-06-2023,10,6,2023,,,6/10/2023,961.25,965,968.95,958.55,359.02K,0.17%
10-05-2023,10,5,2023,,,5/10/2023,959.65,978.95,982.1,955,451.21K,-1.26%
10-04-2023,10,4,2023,,,4/10/2023,971.9,975.05,997.4,965.25,755.64K,-0.21%
10-03-2023,10,3,2023,,,3/10/2023,973.95,995.1,997.95,970,500.85K,-1.34%
09/29/2023,9,,,29,2023,29/9/2023,987.15,"1,005.05","1,011.95",984,895.63K,-2.50%
09/28/2023,9,,,28,2023,28/9/2023,"1,012.45","1,020.00","1,021.25","1,001.00",3.91M,-0.62%
09/27/2023,9,,,27,2023,27/9/2023,"1,018.75","1,000.00","1,020.00",998,5.38M,0.64%
09/26/2023,9,,,26,2023,26/9/2023,"1,012.30","1,016.60","1,016.60",999,5.54M,-0.15%
09/25/2023,9,,,25,2023,25/9/2023,"1,013.80","1,021.95","1,021.95","1,002.40",4.65M,-0.49%
09/22/2023,9,,,22,2023,22/9/2023,"1,018.80","1,025.00","1,025.45",999,6.84M,-0.45%
09/21/2023,9,,,21,2023,21/9/2023,"1,023.45","1,017.45","1,026.00","1,007.90",8.25M,1.44%
09/20/2023,9,,,20,2023,20/9/2023,"1,008.95","1,004.95","1,025.25",988.15,7.66M,0.40%
09/18/2023,9,,,18,2023,18/9/2023,"1,004.95","1,015.00","1,029.95","1,001.00",5.21M,-0.15%
09/15/2023,9,,,15,2023,15/9/2023,"1,006.45",990,"1,012.00",983.8,1.39M,2.30%
09/14/2023,9,,,14,2023,14/9/2023,983.8,990.95,999.95,982,466.90K,-0.20%
09/13/2023,9,,,13,2023,13/9/2023,985.8,"1,002.75","1,002.90",967,962.20K,-1.89%
09-12-2023,9,12,2023,,,12/9/2023,"1,004.80","1,021.95","1,026.95",985,7.83M,-0.97%
09-11-2023,9,11,2023,,,11/9/2023,"1,014.65","1,017.95","1,025.85","1,002.80",7.21M,1.34%
09-08-2023,9,8,2023,,,8/9/2023,"1,001.20","1,002.65","1,012.35",998,5.25M,-0.14%
09-07-2023,9,7,2023,,,7/9/2023,"1,002.65","1,009.85","1,015.15",995,5.11M,-0.34%
09-06-2023,9,6,2023,,,6/9/2023,"1,006.10",963,"1,015.00",954,7.45M,4.57%
09-05-2023,9,5,2023,,,5/9/2023,962.1,959.2,968.5,951.7,5.11M,0.30%
09-04-2023,9,4,2023,,,4/9/2023,959.2,952.9,964,942,4.89M,1.06%
09-01-2023,9,1,2023,,,1/9/2023,949.1,928.6,957,905.15,4.10M,2.20%
08/31/2023,8,,,31,2023,31/8/2023,928.65,932.05,959.85,920.7,4.44M,-4.31%
08/30/2023,8,,,30,2023,30/8/2023,970.5,974.5,977.85,966,705.10K,-0.41%
08/29/2023,8,,,29,2023,29/8/2023,974.5,984.05,985,963.05,1.47M,-0.57%
08/28/2023,8,,,28,2023,28/8/2023,980.1,997.1,998.5,965.6,650.63K,0.07%
08/25/2023,8,,,25,2023,25/8/2023,979.45,985.4,995,973,589.83K,-0.43%
08/24/2023,8,,,24,2023,24/8/2023,983.65,985,"1,001.95",977.1,949.99K,1.25%
08/23/2023,8,,,23,2023,23/8/2023,971.5,"1,020.80","1,024.80",953,1.55M,-4.30%
08/22/2023,8,,,22,2023,22/8/2023,"1,015.10","1,029.90","1,044.85","1,009.15",1.86M,-0.49%
08/21/2023,8,,,21,2023,21/8/2023,"1,020.05","1,006.40","1,035.00","1,003.40",2.53M,2.54%
08/18/2023,8,,,18,2023,18/8/2023,994.75,940.55,"1,024.95",938.15,5.52M,6.56%
08/17/2023,8,,,17,2023,17/8/2023,933.5,955,959.65,930,1.20M,-1.58%
08/16/2023,8,,,16,2023,16/8/2023,948.5,956.6,962.75,942.8,812.63K,-0.29%
08/14/2023,8,,,14,2023,14/8/2023,951.25,950,958.8,940.1,1.04M,-2.07%
08-11-2023,8,11,2023,,,11/8/2023,971.35,979.05,988,967.05,816.24K,-0.26%
08-10-2023,8,10,2023,,,10/8/2023,973.9,976.65,988,970.45,1.20M,0.27%
08-09-2023,8,9,2023,,,9/8/2023,971.3,994.9,"1,003.00",960.1,1.69M,-1.32%
08-08-2023,8,8,2023,,,8/8/2023,984.3,977.7,"1,014.80",973.4,3.86M,1.90%
08-07-2023,8,7,2023,,,7/8/2023,965.9,"1,015.90","1,018.50",885.1,9.34M,-4.61%
08-04-2023,8,4,2023,,,4/8/2023,"1,012.55","1,041.70","1,062.25","1,008.15",924.38K,-2.26%
08-03-2023,8,3,2023,,,3/8/2023,"1,036.00","1,052.45","1,067.00","1,028.05",2.56M,-1.56%
08-02-2023,8,2,2023,,,2/8/2023,"1,052.45","1,087.00","1,094.00","1,045.05",1.25M,-3.18%
08-01-2023,8,1,2023,,,1/8/2023,"1,087.05","1,115.00","1,131.85","1,083.80",2.14M,-0.57%
