"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2015","3.7502","3.7504","3.7513","3.7494","","0.00%"
"05/03/2015","3.7501","3.7501","3.7511","3.7501","","-0.01%"
"05/02/2015","3.7503","3.7503","3.7503","3.7503","","0.01%"
"05/01/2015","3.7501","3.7500","3.7506","3.7494","","-0.01%"
"04/30/2015","3.7503","3.7509","3.7515","3.7500","","0.01%"
"04/29/2015","3.7500","3.7502","3.7517","3.7489","","-0.01%"
"04/28/2015","3.7502","3.7505","3.7519","3.7492","","0.00%"
"04/27/2015","3.7502","3.7501","3.7516","3.7486","","0.01%"
"04/26/2015","3.7500","3.7508","3.7523","3.7496","","0.00%"
"04/25/2015","3.7501","3.7501","3.7501","3.7501","","0.00%"
"04/24/2015","3.7500","3.7483","3.7509","3.7473","","0.06%"
"04/23/2015","3.7477","3.7509","3.7527","3.7477","","-0.07%"
"04/22/2015","3.7502","3.7502","3.7516","3.7483","","0.00%"
"04/21/2015","3.7502","3.7499","3.7511","3.7485","","-0.01%"
"04/20/2015","3.7504","3.7504","3.7519","3.7486","","0.00%"
"04/19/2015","3.7503","3.7518","3.7518","3.7492","","0.00%"
"04/18/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"04/17/2015","3.7504","3.7506","3.7519","3.7492","","0.00%"
"04/16/2015","3.7504","3.7498","3.7513","3.7486","","0.00%"
"04/15/2015","3.7504","3.7509","3.7521","3.7492","","0.00%"
"04/14/2015","3.7504","3.7505","3.7516","3.7489","","-0.01%"
"04/13/2015","3.7508","3.7508","3.7517","3.7491","","0.00%"
"04/12/2015","3.7508","3.7513","3.7515","3.7495","","0.00%"
"04/11/2015","3.7508","3.7508","3.7508","3.7508","","-0.01%"
"04/10/2015","3.7511","3.7513","3.7515","3.7500","","0.00%"
"04/09/2015","3.7511","3.7510","3.7518","3.7500","","0.01%"
"04/08/2015","3.7509","3.7511","3.7523","3.7498","","-0.01%"
"04/07/2015","3.7512","3.7511","3.7518","3.7497","","0.00%"
"04/06/2015","3.7512","3.7511","3.7518","3.7492","","0.00%"
"04/05/2015","3.7512","3.7517","3.7517","3.7502","","0.00%"
"04/04/2015","3.7511","3.7511","3.7511","3.7511","","0.00%"
"04/03/2015","3.7511","3.7511","3.7514","3.7508","","0.00%"
"04/02/2015","3.7511","3.7512","3.7517","3.7502","","0.00%"
"04/01/2015","3.7512","3.7511","3.7515","3.7500","","0.00%"
"03/31/2015","3.7511","3.7511","3.7526","3.7490","","0.00%"
"03/30/2015","3.7511","3.7511","3.7516","3.7500","","0.01%"
"03/29/2015","3.7506","3.7530","3.7530","3.7506","","-0.02%"
"03/28/2015","3.7512","3.7512","3.7512","3.7512","","0.00%"
"03/27/2015","3.7513","3.7511","3.7514","3.7489","","-0.01%"
"03/26/2015","3.7515","3.7519","3.7542","3.7500","","0.02%"
"03/25/2015","3.7508","3.7506","3.7527","3.7485","","0.01%"
"03/24/2015","3.7506","3.7506","3.7527","3.7474","","-0.01%"
"03/23/2015","3.7508","3.7507","3.7530","3.7488","","0.00%"
"03/22/2015","3.7507","3.7505","3.7507","3.7496","","0.00%"
"03/21/2015","3.7508","3.7508","3.7508","3.7508","","0.00%"
"03/20/2015","3.7507","3.7505","3.7527","3.7490","","0.00%"
"03/19/2015","3.7506","3.7506","3.7534","3.7487","","0.00%"
"03/18/2015","3.7506","3.7509","3.7527","3.7486","","-0.01%"
"03/17/2015","3.7508","3.7506","3.7531","3.7485","","0.01%"
"03/16/2015","3.7506","3.7506","3.7516","3.7488","","0.00%"
"03/15/2015","3.7506","3.7502","3.7516","3.7502","","0.00%"
"03/14/2015","3.7506","3.7506","3.7506","3.7506","","0.01%"
"03/13/2015","3.7504","3.7505","3.7523","3.7485","","0.00%"
"03/12/2015","3.7505","3.7505","3.7537","3.7484","","0.00%"
"03/11/2015","3.7505","3.7503","3.7520","3.7485","","0.01%"
"03/10/2015","3.7503","3.7502","3.7518","3.7484","","0.00%"
"03/09/2015","3.7502","3.7518","3.7519","3.7488","","-0.04%"
"03/08/2015","3.7517","3.7504","3.7517","3.7502","","0.04%"
"03/07/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"03/06/2015","3.7503","3.7504","3.7504","3.7503","","0.00%"
"03/05/2015","3.7503","3.7503","3.7516","3.7492","","0.00%"
"03/04/2015","3.7503","3.7503","3.7516","3.7489","","0.00%"
"03/03/2015","3.7503","3.7503","3.7516","3.7491","","0.00%"
"03/02/2015","3.7503","3.7503","3.7516","3.7489","","0.00%"
"03/01/2015","3.7504","3.7507","3.7517","3.7494","","0.00%"
"02/28/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"02/27/2015","3.7503","3.7504","3.7506","3.7500","","0.00%"
"02/26/2015","3.7504","3.7504","3.7507","3.7494","","0.00%"
"02/25/2015","3.7504","3.7507","3.7518","3.7493","","-0.01%"
"02/24/2015","3.7506","3.7508","3.7517","3.7498","","-0.01%"
"02/23/2015","3.7509","3.7515","3.7524","3.7503","","-0.01%"
"02/22/2015","3.7514","3.7517","3.7517","3.7502","","0.00%"
"02/21/2015","3.7513","3.7513","3.7513","3.7513","","0.00%"
"02/20/2015","3.7513","3.7516","3.7516","3.7513","","-0.01%"
"02/19/2015","3.7515","3.7513","3.7517","3.7502","","0.00%"
"02/18/2015","3.7515","3.7514","3.7522","3.7502","","0.00%"
"02/17/2015","3.7514","3.7515","3.7522","3.7502","","0.00%"
"02/16/2015","3.7515","3.7512","3.7523","3.7501","","-0.01%"
"02/15/2015","3.7520","3.7525","3.7525","3.7510","","0.01%"
"02/14/2015","3.7518","3.7518","3.7518","3.7518","","0.02%"
"02/13/2015","3.7512","3.7518","3.7523","3.7511","","-0.01%"
"02/12/2015","3.7517","3.7514","3.7523","3.7502","","0.01%"
"02/11/2015","3.7515","3.7516","3.7523","3.7503","","-0.01%"
"02/10/2015","3.7518","3.7517","3.7525","3.7504","","0.00%"
"02/09/2015","3.7518","3.7527","3.7532","3.7495","","-0.02%"
"02/08/2015","3.7527","3.7530","3.7530","3.7510","","0.01%"
"02/07/2015","3.7523","3.7523","3.7523","3.7523","","0.00%"
"02/06/2015","3.7523","3.7530","3.7530","3.7523","","-0.02%"
"02/05/2015","3.7532","3.7530","3.7537","3.7500","","0.00%"
"02/04/2015","3.7532","3.7532","3.7540","3.7502","","0.00%"
"02/03/2015","3.7532","3.7557","3.7578","3.7527","","-0.06%"
"02/02/2015","3.7555","3.7590","3.7600","3.7550","","-0.09%"
"02/01/2015","3.7590","3.7605","3.7605","3.7585","","-0.01%"
"01/31/2015","3.7592","3.7592","3.7592","3.7592","","0.00%"
"01/30/2015","3.7592","3.7577","3.7602","3.7577","","0.04%"
"01/29/2015","3.7577","3.7588","3.7607","3.7568","","-0.05%"
"01/28/2015","3.7595","3.7595","3.7605","3.7580","","0.02%"
"01/27/2015","3.7588","3.7577","3.7597","3.7569","","0.03%"
"01/26/2015","3.7577","3.7568","3.7596","3.7548","","-0.07%"
"01/25/2015","3.7605","3.7605","3.7605","3.7605","","0.00%"
"01/24/2015","3.7605","3.7605","3.7605","3.7605","","0.00%"
"01/23/2015","3.7605","3.7575","3.7605","3.7565","","0.10%"
"01/22/2015","3.7568","3.7568","3.7575","3.7518","","-0.01%"
"01/21/2015","3.7571","3.7556","3.7571","3.7540","","0.05%"
"01/20/2015","3.7553","3.7548","3.7557","3.7538","","0.00%"
"01/19/2015","3.7553","3.7535","3.7554","3.7527","","0.05%"
"01/18/2015","3.7535","3.7518","3.7548","3.7512","","0.00%"
"01/17/2015","3.7535","3.7535","3.7535","3.7535","","0.00%"
"01/16/2015","3.7535","3.7530","3.7546","3.7530","","0.01%"
"01/15/2015","3.7532","3.7530","3.7538","3.7517","","0.01%"
"01/14/2015","3.7530","3.7532","3.7535","3.7517","","-0.01%"
"01/13/2015","3.7532","3.7532","3.7542","3.7517","","0.00%"
"01/12/2015","3.7532","3.7548","3.7548","3.7527","","-0.02%"
"01/11/2015","3.7538","3.7533","3.7548","3.7533","","-0.03%"
"01/10/2015","3.7548","3.7548","3.7548","3.7548","","0.00%"
"01/09/2015","3.7548","3.7548","3.7550","3.7537","","0.00%"
"01/08/2015","3.7548","3.7537","3.7551","3.7532","","0.02%"
"01/07/2015","3.7540","3.7538","3.7544","3.7534","","0.02%"
"01/06/2015","3.7534","3.7538","3.7539","3.7527","","-0.01%"
"01/05/2015","3.7538","3.7538","3.7541","3.7527","","0.01%"
"01/04/2015","3.7535","3.7535","3.7535","3.7535","","-0.03%"
"01/03/2015","3.7545","3.7540","3.7545","3.7540","","0.02%"
"01/02/2015","3.7538","3.7525","3.7548","3.7525","","0.03%"
"01/01/2015","3.7525","3.7525","3.7525","3.7525","","0.00%"
